"url","Name","Rush Yards","TD's","Rush 1st Downs","Rush Fumbles","team"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Christian McCaffrey","747","9","44","2","San Francisco 49ers"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Derrick Henry","625","4","30","0","Tennessee Titans"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Josh Jacobs","622","5","30","2","Las Vegas Raiders"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Travis Etienne","618","7","33","0","Jacksonville Jaguars"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Zack Moss","617","5","31","0","Indianapolis Colts"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","James Cook","615","1","31","1","Buffalo Bills"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","D'Andre Swift","614","3","30","2","Philadelphia Eagles"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Bijan Robinson","612","2","32","2","Atlanta Falcons"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Joe Mixon","605","4","38","0","Cincinnati Bengals"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Raheem Mostert","605","11","32","2","Miami Dolphins"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Kenneth Walker III","595","6","28","0","Seattle Seahawks"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Saquon Barkley","568","1","26","1","New York Giants"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Gus Edwards","564","10","36","0","Baltimore Ravens"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Lamar Jackson","535","5","35","4","Baltimore Ravens"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Jerome Ford","532","2","19","1","Cleveland Browns"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Tony Pollard","529","2","27","1","Dallas Cowboys"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Isiah Pacheco","525","3","30","0","Kansas City Chiefs"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Breece Hall","521","2","17","2","New York Jets"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","David Montgomery","501","7","26","2","Detroit Lions"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Brian Robinson","485","5","31","2","Washington Commanders"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Rhamondre Stevenson","482","3","25","0","New England Patriots"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Jahmyr Gibbs","476","4","20","0","Detroit Lions"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Najee Harris","464","3","23","1","Pittsburgh Steelers"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","Alexander Mattison","461","0","18","1","Minnesota Vikings"
"https://www.nfl.com/stats/player-stats/category/rushing/2023/reg/all/rushingyards/desc","De'Von Achane","460","5","15","1","Miami Dolphins"
